name,address,city,province,country,time_zone,latitude,longitude,facebook_url,instagram_url,viber_contact,website_url,other_contact_info,amenities,courts,photo_urls
Warriors Pickleball Club,"Trece Martires, Calabarzon, Philippines",TRECE MARTIRES CITY,CAVITE,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/calabarzon/trece-martires/warriors-pickleball-club,,,pickleball|pickleball|,
Realaks Pickleball Court,"Barili, Central Visayas, Philippines",BARILI,CEBU,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/central-visayas/barili/realaks-pickleball-court,,,pickleball|pickleball|,
Ccpc Bondoc Court,"Calapan, Mimaropa, Philippines",CITY OF CALAPAN,ORIENTAL MINDORO,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/mimaropa/calapan/ccpc-bondoc-court,,,pickleball|pickleball|,
The Pickleground Ph,"Kawit, Calabarzon, Philippines",KAWIT,CAVITE,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/calabarzon/kawit/the-pickleground-ph,,,pickleball|pickleball|,
Merville Pickleball Club,"Paranaque, Metro Manila, Philippines",CITY OF PARAÑAQUE,METRO MANILA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/metro-manila/paranaque/merville-pickleball-club,,,pickleball|pickleball|,
Lds Pickleball,"Valenzuela, Metro Manila, Philippines",CITY OF VALENZUELA,METRO MANILA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/metro-manila/valenzuela/lds-pickleball,,,pickleball|pickleball|,
Dumaguete City National High School Gym,"Dumaguete City, Negros Oriental, Philippines",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/central-visayas/dumaguete/dumaguete-city-national-high-school-gym,,,pickleball|pickleball|,
Jasaan Town Plaza,"Jasaan, Misamis Oriental, Philippines",JASAAN,MISAMIS ORIENTAL,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/northern-mindanao/jasaan/jasaan-town-plaza,,,pickleball|pickleball|,
Robinsons Place Dumaguete,"Dumaguete City, Negros Oriental, Philippines",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/central-visayas/dumaguete/robinsons-place-dumaguete,,,pickleball|pickleball|,
Bacnotan Pickleball Club,"Bacnotan, La Union, Philippines",BACNOTAN,LA UNION,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/ilocos-region/bacnotan/bacnotan-pickleball-club,,,pickleball|pickleball|,
Masey Pickleball,"Malay, Aklan, Philippines",MALAY,AKLAN,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/western-visayas/malay/masey-pickleball,,,pickleball|pickleball|,
Lmb Pickleball League,"Cotabato City, Maguindanao, Philippines",COTABATO CITY,MAGUINDANAO,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/soccsksargen/cotabato-city/lmb-pickleball-league,,,pickleball|pickleball|,
Pwr Pickleball Courts,"Dumaguete City, Negros Oriental, Philippines",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/negros-island-region/dumaguete-city/pwr-pickleball-courts,,,pickleball|pickleball|,
Slv Courts,"Dumaguete City, Negros Oriental, Philippines",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/negros-island-region/dumaguete-city/slv-courts,,,pickleball|pickleball|,
North South Pickleball Club,"Pasig, Metro Manila, Philippines",CITY OF PASIG,METRO MANILA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/metro-manila/pasig/north-south-pickleball-club,,,pickleball|pickleball|,
Kai Multipurpose Hall,"Mandaluyong, Metro Manila, Philippines",CITY OF MANDALUYONG,METRO MANILA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/metro-manila/mandaluyong/kai-multipurpose-hall,,,pickleball|pickleball|,
Picklebees Vmmc Uhtpc,"Quezon City, Metro Manila, Philippines",QUEZON CITY,METRO MANILA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/metro-manila/quezon-city/picklebees-vmmc-uhtpc,,,pickleball|pickleball|,
