name,address,city,province,country,time_zone,latitude,longitude,facebook_url,instagram_url,viber_contact,website_url,other_contact_info,amenities,courts,photo_urls
Kalamandarin Pickleball Court,"Cabanatuan City, Central Luzon, Philippines",CABANATUAN CITY,NUEVA ECIJA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/central-luzon/cabanatuan-city/kalamandarin-pickleball-court,Source: https://www.pickleheads.com/courts/ph/central-luzon/cabanatuan-city/kalamandarin-pickleball-court,,pickleball|,
Smash Cab Badminton And Fitness,"Cabanatuan City, Central Luzon, Philippines",CABANATUAN CITY,NUEVA ECIJA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/central-luzon/cabanatuan-city/smash-cab-badminton-and-fitness,Source: https://www.pickleheads.com/courts/ph/central-luzon/cabanatuan-city/smash-cab-badminton-and-fitness,,pickleball|,
Match Point Badminton And Pickleball,"Liloan, Central Visayas, Philippines",LILOAN,CEBU,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/central-visayas/liloan/match-point-badminton-and-pickleball,Source: https://www.pickleheads.com/courts/ph/central-visayas/liloan/match-point-badminton-and-pickleball,,pickleball|,
Jolo Paddlers,"Jolo, Bangsamoro Autonomous Region In Muslim Mindanao, Philippines",JOLO,SULU,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/bangsamoro-autonomous-region-in-muslim-mindanao/jolo/jolo-paddlers,Source: https://www.pickleheads.com/courts/ph/bangsamoro-autonomous-region-in-muslim-mindanao/jolo/jolo-paddlers,,pickleball|,
University Of The Philippines Visayas,"Miagao, Western Visayas, Philippines",MIAGAO,ILOILO,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/western-visayas/miagao/university-of-the-philippines-visayas,Source: https://www.pickleheads.com/courts/ph/western-visayas/miagao/university-of-the-philippines-visayas,,pickleball|,
South City Elementary School Mangnao Gym,"Dumaguete, Central Visayas, Philippines",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/central-visayas/dumaguete/south-city-elementary-school-mangnao-gym,Source: https://www.pickleheads.com/courts/ph/central-visayas/dumaguete/south-city-elementary-school-mangnao-gym,,pickleball|,
Upv City Campus Pickleball Court,"Iloilo City, Western Visayas, Philippines",ILOILO CITY,ILOILO,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/western-visayas/iloilo-city/upv-city-campus-pickleball-court,Source: https://www.pickleheads.com/courts/ph/western-visayas/iloilo-city/upv-city-campus-pickleball-court,,pickleball|,
Dona Faustina Village 1 Tennis Court,"Quezon City, Metro Manila, Philippines",QUEZON CITY,METRO MANILA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/metro-manila/quezon-city/dona-faustina-village-1-tennis-court,Source: https://www.pickleheads.com/courts/ph/metro-manila/quezon-city/dona-faustina-village-1-tennis-court,,pickleball|,
Dona Juana Subdivision,"Pasig, Metro Manila, Philippines",CITY OF PASIG,METRO MANILA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/metro-manila/pasig/dona-juana-subdivision,Source: https://www.pickleheads.com/courts/ph/metro-manila/pasig/dona-juana-subdivision,,pickleball|,
Sequoia Pickleball Club,"Taguig, Metro Manila, Philippines",TAGUIG,METRO MANILA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/metro-manila/taguig/sequoia-pickleball-club,Source: https://www.pickleheads.com/courts/ph/metro-manila/taguig/sequoia-pickleball-club,,pickleball|,
Acacia Pickleball Club,"Taguig, Metro Manila, Philippines",TAGUIG,METRO MANILA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/metro-manila/taguig/acacia-pickleball-club,Source: https://www.pickleheads.com/courts/ph/metro-manila/taguig/acacia-pickleball-club,,pickleball|,
Ssclhs Pickleball Club,"Jolo, Bangsamoro Autonomous Region In Muslim Mindanao, Philippines",JOLO,SULU,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/bangsamoro-autonomous-region-in-muslim-mindanao/jolo/ssclhs-pickleball-club,Source: https://www.pickleheads.com/courts/ph/bangsamoro-autonomous-region-in-muslim-mindanao/jolo/ssclhs-pickleball-club,,pickleball|,
Morning Mist Village,"Cagayan De Oro City, Northern Mindanao, Philippines",CAGAYAN DE ORO CITY,MISAMIS ORIENTAL,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/northern-mindanao/cagayan-de-oro-city/morning-mist-village,Source: https://www.pickleheads.com/courts/ph/northern-mindanao/cagayan-de-oro-city/morning-mist-village,,pickleball|,
Camella Covered Court,"Cabanatuan City, Central Luzon, Philippines",CABANATUAN CITY,NUEVA ECIJA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/central-luzon/cabanatuan-city/camella-covered-court,Source: https://www.pickleheads.com/courts/ph/central-luzon/cabanatuan-city/camella-covered-court,,pickleball|,
