place_id,name,address,city,province,country,time_zone,latitude,longitude,place_type,claim_status,is_active,organization_name,phone_number,viber_info,facebook_url,instagram_url,website_url,other_contact_info,amenities,courts,photo_urls
47b67280-1c41-4df9-9f95-779b922e8d99,MK Pickleball Court,"873V+CF9, Dumaguete City, Negros Oriental",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,9.30353410,123.29374620,CURATED,UNCLAIMED,true,,,,,,,,,Court 1|pickleball|,"https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/47b67280-1c41-4df9-9f95-779b922e8d99/6cc60a4b-243b-434a-bb85-3c1b60661d21.jpg,https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/47b67280-1c41-4df9-9f95-779b922e8d99/ea0f2c7a-f8bd-4cb9-963d-459668ee0b37.webp"
3bbd9e88-7abd-4e04-92e5-96b4cb9f80f9,Dink N’ Dash Pickleball,"Bagacay-Mangnao Rd, Dumaguete City, 6200 Negros Oriental",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,9.29698930,123.29567250,CURATED,UNCLAIMED,true,,09218081324,,,,,,,Court 1|pickleball|,https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/3bbd9e88-7abd-4e04-92e5-96b4cb9f80f9/1f33eb80-ffcf-4ad2-83dc-37afc749fc3c.jpg
9d7bba8b-50f3-48a7-9cc7-9a8f4c4a0ed9,Burn Room Pickleball,"77M7+775, Road Talay Dumaguete CityNegros Oriental, 6200 Negros Oriental",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,9.28315420,123.26318240,CURATED,UNCLAIMED,true,,,,,,,,Covered Courts;Parking,Court 1|pickleball|,"https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/9d7bba8b-50f3-48a7-9cc7-9a8f4c4a0ed9/9f54e448-28ef-4704-9141-763933e2c1cc.jpg,https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/9d7bba8b-50f3-48a7-9cc7-9a8f4c4a0ed9/6db42a9b-80d7-475e-a6dc-159ee7690347.jpg"
51572aa6-826f-41d3-a9f8-0b5f98d1f388,Dink Yard Pickleball 6100,"Anahaw St, Bacolod, 6100 Negros Occidental",BACOLOD CITY,NEGROS OCCIDENTAL,PH,Asia/Manila,10.67418930,122.96273780,CURATED,UNCLAIMED,true,,09173005832,,,,,,Covered Courts,Court 1|pickleball|,https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/51572aa6-826f-41d3-a9f8-0b5f98d1f388/72479ee8-484e-4c07-936d-1b125db50b66.webp
7fd29341-5819-479e-9a5e-f31c3ec20978,Paddle Ground,"Circumferential Rd, Bacolod, 6100 Negros Occidental",BACOLOD CITY,NEGROS OCCIDENTAL,PH,Asia/Manila,10.65427750,122.96527660,CURATED,UNCLAIMED,true,,,,,,,,Covered Courts,Court 1|pickleball|,"https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/7fd29341-5819-479e-9a5e-f31c3ec20978/3bcc6d23-e9d9-4322-bf12-cad6e87e25e3.jpg,https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/7fd29341-5819-479e-9a5e-f31c3ec20978/ab17cb41-ab91-4b47-863d-15c8b9b3f0d1.jpg"
0f24e5a7-d3f3-460f-badd-161f5856c470,One Pickle Hub,"JWMP+8Q7, Bacolod, 6100 Negros Occidental",BACOLOD CITY,NEGROS OCCIDENTAL,PH,Asia/Manila,10.63303340,122.93706370,CURATED,UNCLAIMED,true,,09088616564,,,,,,Covered Courts,Court 1|pickleball|,"https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/0f24e5a7-d3f3-460f-badd-161f5856c470/a8e45ac9-98a3-46fd-beef-971c518e69bd.jpg,https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/0f24e5a7-d3f3-460f-badd-161f5856c470/224621af-63a5-45f1-8f41-228c37be1cc0.webp"
e9312a0e-bf23-4c0a-afdf-55085f8bc49c,The Pickleball Hideout,"JWMP+8Q7, Bacolod, 6100 Negros Occidental",BACOLOD CITY,NEGROS OCCIDENTAL,PH,Asia/Manila,10.63303340,122.93706370,CURATED,UNCLAIMED,true,,09088616564,,,,,,Covered Courts,Court 1|pickleball|,
bd6d8ae2-7e0b-41a9-9bc2-97c4736caba6,Dad's Pickleball Club,"Garnet St E J. Blanco Dr, Extension, Dumaguete City, 6200 Negros Oriental",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,9.32021810,123.29802070,CURATED,UNCLAIMED,true,,09153044837,,,,,,,Court 1|pickleball|,"https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/bd6d8ae2-7e0b-41a9-9bc2-97c4736caba6/80cbb588-1dad-44c0-a149-ab0f19549240.jpg,https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/bd6d8ae2-7e0b-41a9-9bc2-97c4736caba6/60a5d1a4-048f-4abd-b6ab-1e44fa76d36e.jpg"
e0bb35f4-f08e-40fe-a54a-23c486ecf9dc,POK! Pickleball Courts,"Purok Mahusay, Dumaguete City, 6200 Negros Oriental",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,9.32146400,123.28298650,CURATED,UNCLAIMED,true,,09286230533,,,,https://app.court-access.com/facility/27122156-6722-4c24-b4ba-d090de6c04ec,,,Court 1|pickleball|,
4822bd6d-2d5b-4c28-8dca-2e6e5ae3dbac,Rally Alley Pickleball Courts,"111 San Jose Ext, Taclobo, Dumaguete City, 6200 Negros Oriental",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,9.30850520,123.30307580,CURATED,UNCLAIMED,true,,09972253544,,,,,,,Court 1|pickleball|,
0bffa002-1052-4817-9851-ce00ed515138,FRNDS Pickleball,"Highway, Sibulan, 6201 Negros Oriental",SIBULAN,NEGROS ORIENTAL,PH,Asia/Manila,9.34885820,123.28663260,CURATED,UNCLAIMED,true,,,,,,,,Covered Courts,Court 1|pickleball|,"https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/0bffa002-1052-4817-9851-ce00ed515138/e9de3e6c-5cdc-492d-8a5a-3d166f73f30d.jpg,https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/0bffa002-1052-4817-9851-ce00ed515138/5056b35f-da62-4c94-ba65-e613f385b1cc.jpg"
d7e30bd1-11f8-4c93-91b7-ecaa3be383b9,Pickle Pro Courts & Cafe,"Purok Caimito, Dumaguete City, 6200 Negros Oriental",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,9.30080270,123.26034410,CURATED,UNCLAIMED,true,,,,,,,,,Court 1|pickleball|,
6247b9dd-8b4e-43b5-a6ea-a24d26b1d3c2,Runway Pickleball RPB,"77JQ+CXW, Bajumpandan Rd, Dumaguete City, Negros Oriental",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,9.28110600,123.28996330,CURATED,UNCLAIMED,true,,09919353797,,,,,,,Court 1|pickleball|,
f340dc28-ec65-42e5-9e32-8439d7162b4c,Championsfield Pickleball Court,"77JQ+CXW, Bajumpandan Rd, Dumaguete City, Negros Oriental",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,,,CURATED,UNCLAIMED,true,,09919353797,,,,,,,Court 1|pickleball|,"https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/f340dc28-ec65-42e5-9e32-8439d7162b4c/cbe6ceda-3eec-419d-863a-9706e24b236b.jpg,https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/f340dc28-ec65-42e5-9e32-8439d7162b4c/1ff46eb0-ff61-4306-96eb-c411d886d9cc.jpg"
4db16e20-da8b-4cc7-a031-e2fbd68bd2af,The Grand Line Pickleball Court,"97J5+FFW Ajong, Sibulan, Negros Oriental",SIBULAN,NEGROS ORIENTAL,PH,Asia/Manila,9.38123760,123.25868770,CURATED,UNCLAIMED,true,,,,,,,,Parking,Court 1|pickleball|,
c8ca6fea-4737-461b-bcc0-3e6016c34e3e,Off Court Pickleball Court,"Balugo Valencia, Valencia, 6200 Negros Oriental",VALENCIA (LUZURRIAGA),NEGROS ORIENTAL,PH,Asia/Manila,9.29835520,123.25208830,CURATED,UNCLAIMED,true,,09361657393,,https://www.facebook.com/share/1ABYcwd8w5/?mibextid=wwXIfr,,,,,Court 1|pickleball|,"https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/c8ca6fea-4737-461b-bcc0-3e6016c34e3e/849a0801-44d3-4cd1-895d-24bf6d43a161.jpg,https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/c8ca6fea-4737-461b-bcc0-3e6016c34e3e/8899e16c-d278-4094-9947-97ce5aef0ab3.jpg,https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/c8ca6fea-4737-461b-bcc0-3e6016c34e3e/62774716-4009-4023-a0c8-a8fe1aec7b6b.jpg,https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/c8ca6fea-4737-461b-bcc0-3e6016c34e3e/7accfc3e-4454-4324-9960-6279da79277f.jpg"
a6d1d5b6-b396-4f3a-bb42-e14164998e5d,Zero Zero Two Pickleball Court,"77JC+VCF, Dumaguete City, Negros Oriental",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,9.28271380,123.27179770,CURATED,UNCLAIMED,true,,09214898130,,,,,,,Court 1|pickleball|,
1aae164e-70b1-4018-a9b5-b93507b2ae7e,The Courts Tennis & Pickleball Racquet Club,"Trafalgar Square, Talisay, 6115 Negros Occidental",TALISAY CITY,NEGROS OCCIDENTAL,PH,Asia/Manila,10.72423760,122.96379530,CURATED,UNCLAIMED,true,,09399054472,,,,,,Parking,Court 1|pickleball|;Court 2|tennis|,
cc357021-332d-4d2e-bf95-7100ace333b0,Club Pickleball Kabankalan ,"XRMC+8M4, Kabankalan City, Negros Occidental",KABANKALAN CITY,NEGROS OCCIDENTAL,PH,Asia/Manila,9.98325950,122.82171090,CURATED,UNCLAIMED,true,,,,,,,,Covered Courts,Court 1|pickleball|,"https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/cc357021-332d-4d2e-bf95-7100ace333b0/11856920-ab91-400f-8e2e-8a8b46607721.jpg,https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/cc357021-332d-4d2e-bf95-7100ace333b0/73a65f13-b2d3-4be3-86ea-0983fe7a729b.jpg"
